date,county,year,T_night
2024-07-15,Richmond,2024,27.493646432130024
2024-07-22,Roanoke,2024,15.842508720150278
2024-07-22,Alleghany,2024,16.450733803768514
2024-07-22,Amherst,2024,16.622765543562167
2024-07-22,Franklin,2024,16.646525729006328
2024-07-22,Roanoke,2024,16.602979477422288
2024-07-22,Fairfax,2024,20.740784387512445
2024-07-22,Richmond,2024,21.82279198748133
2024-07-22,Accomack,2024,20.232847826466564
2024-07-22,Albemarle,2024,18.153193538691777
2024-07-22,Appomattox,2024,17.87626864582959
2024-07-22,Amelia,2024,18.893828502658423
2024-07-22,Fairfax,2024,19.610000000000017
2024-07-22,Franklin,2024,19.209664429530232
2024-07-22,Richmond,2024,22.216735272826885
2024-07-29,Roanoke,2024,23.277472666460586
2024-07-29,Alleghany,2024,20.410335179054464
2024-07-29,Amherst,2024,21.907046152818328
2024-07-29,Franklin,2024,22.111856625589
2024-07-29,Roanoke,2024,21.726285324599253
2024-07-29,Fairfax,2024,23.893867594473548
2024-07-29,Richmond,2024,23.359269351457986
2024-07-29,Accomack,2024,23.97279741926708
2024-07-29,Albemarle,2024,23.184523387875135
2024-07-29,Appomattox,2024,22.485023545800676
2024-07-29,Amelia,2024,21.960892328356287
2024-07-29,Fairfax,2024,24.415211426423628
2024-07-29,Franklin,2024,23.94589907192579
2024-07-29,Richmond,2024,23.08690647275239
2024-08-05,Roanoke,2024,23.091391363819504
2024-08-05,Alleghany,2024,20.2930297281547
2024-08-05,Amherst,2024,21.902126915373092
2024-08-05,Franklin,2024,22.187245639452723
2024-08-05,Roanoke,2024,21.251025233395747
2024-08-05,Fairfax,2024,24.26029890257084
2024-08-05,Richmond,2024,22.28098507140865
2024-08-05,Accomack,2024,19.938478497296657
2024-08-05,Albemarle,2024,22.329224061134717
2024-08-05,Appomattox,2024,22.103937108539885
2024-08-05,Amelia,2024,23.076200170744208
2024-08-05,Fairfax,2024,24.21351562989415
2024-08-05,Franklin,2024,23.49477668213459
2024-08-05,Richmond,2024,23.973191538284713
2024-08-12,Roanoke,2024,22.190011221862857
2024-08-12,Alleghany,2024,17.509461260491175
2024-08-12,Amherst,2024,20.023825977651196
2024-08-12,Franklin,2024,18.878063568554577
2024-08-12,Roanoke,2024,18.767272326476732
2024-08-12,Fairfax,2024,20.803430873571372
2024-08-12,Richmond,2024,19.089311386486084
2024-08-12,Accomack,2024,20.2167626190669
2024-08-12,Albemarle,2024,19.84225730793526
2024-08-12,Appomattox,2024,19.787192845180304
2024-08-12,Amelia,2024,19.718842358862258
